_UNK_,_UNK_
Produced,VBN
by,IN
Charles,NNP
Keller,NNP
.,.
HTML,NNP
version,NN
Al,NNP
Haines,NNP
FRIVOLOUS,NNP
CUPID,NNP
BY,NNP
SIR,NNP
ANTHONY,NNP
HOPE,NNP
HAWKINS,NNP
(,(
",",","
PSEUD,NNP
),)
Cupid,NNP
I,PRP
met,VBD
thee,NN
yesterday,NN
With,IN
an,DT
empty,JJ
quiver,NN
Coming,VBG
from,IN
Clarinda,NNP
's,POS
house,NN
By,IN
the,DT
reedy,NN
river,NN
And,CC
saw,VBD
stand,NN
Near,IN
pansies,NNS
weeping,VBG
her,PRP$
hands,NNS
upon,IN
breast,NN
All,DT
thine,NN
arrows,VBZ
keeping,VBG
CONTENTS,NN
RELUCTANCE,NNP
II,NNP
WHY,WRB
MEN,NNP
DO,VBP
N'T,NNP
MARRY,NNP
III,NNP
A,DT
CHANGE,NNP
OF,NNP
HEART,NNP
IV,NNP
REPENTANT,NNP
SINNER,NNP
V,NNP
'TWIXT,POS
WILL,NNP
AND,NNP
NOT,NNP
VI,NNP
WHICH,WDT
SHALL,VBD
IT,NNP
BE,NNP
?,.
VII,NNP
MARRIAGE,NN
COMPULSION,NNP
VIII,NNP
ALL,DT
'S,VBZ
WELL,NNP
THAT,NNP
ENDS,NNP
Neither,DT
life,NN
nor,CC
lawn-tennis,JJ
club,NN
was,VBD
so,RB
full,JJ
at,IN
Natterley,NNP
that,IN
news,NN
of,IN
Harry,NNP
Sterling,NNP
return,NN
had,VBD
not,RB
some,DT
importance,NN
He,PRP
came,VBD
back,RB
moreover,RB
to,TO
assume,VB
a,DT
position,NN
very,RB
different,JJ
his,PRP$
old,JJ
one,CD
left,VBN
Harrow,NNP
now,RB
departing,VBG
in,IN
sweet,JJ
aroma,NN
long,JJ
score,NN
against,IN
Eton,NNP
Lord,NNP
and,CC
go,VB
up,RP
Oxford,NNP
October,NNP
Now,RB
between,IN
schoolboy,NN
University,NNP
man,NN
there,EX
is,VBZ
gulf,NN
indicated,VBD
unmistakably,RB
cigarette,NN
which,WDT
adorned,VBD
mouth,NN
as,IN
he,PRP
walked,VBD
down,RP
street,NN
with,IN
newly,RB
acquiescent,NN
father,NN
thoroughly,RB
realized,VBN
playmates,NNS
The,DT
young,JJ
men,NNS
greeted,VBD
him,PRP
equal,JJ
boys,NNS
grudgingly,RB
accepted,VBD
superiority,NN
girls,NNS
received,VBD
much,RB
though,IN
they,PRP
never,RB
before,IN
their,PRP$
lives,NNS
were,VBD
pressingly,RB
need,NN
introduction,NN
These,DT
features,NNS
reappearance,NN
amused,VBD
Mrs.,NNP
Mortimer,NNP
;,:
she,PRP
recollected,VBD
untidy,NN
shy,NN
pretty,RB
boy,NN
but,CC
mind,NN
working,VBG
on,IN
matter,NN
transformed,JJ
doubtful,JJ
enough,RB
about,IN
ask,VB
husband,NN
if,IN
really,RB
Mr.,NNP
mopping,VBG
bald,NN
head,NN
after,IN
energetic,JJ
failures,NNS
lawn,NN
tennis,NN
grunted,VBN
assent,NN
remarked,VBD
few,JJ
years,NNS
more,RBR
would,MD
see,VB
like,JJ
development,NN
elder,NN
son,NN
remark,NN
bordered,VBD
absurdity,NN
for,IN
Johnny,NNP
eight,CD
ten,CD
are,VBP
lady,NN
twenty-eight,JJ
whatever,IN
may,MD
seem,VB
forty-four,JJ
Presently,RB
shaking,VBG
himself,PRP
free,JJ
entangling,VBG
group,NN
Vicarage,NNP
joined,VBD
two,CD
across,IN
She,PRP
favorite,NN
proud,JJ
present,VB
handsome,JJ
listened,VBD
graciously,RB
jocosities,NNS
stealing,VBG
glance,NN
when,WRB
called,VBD
``,``
good,JJ
blushed,VBD
assumed,VBD
air,NN
indifference,NN
tossing,VBG
hair,NN
smooth,JJ
forehead,NN
swinging,VBG
racket,NN
carelessly,RB
hand,NN
addressed,VBD
words,NNS
patronizing,VBG
kindness,NN
seeking,VBG
put,VB
ease,NN
seemed,VBD
succeed,VB
extent,NN
let,VB
off,RP
together,RB
sat,VBD
bench,NN
regardless,RB
fact,NN
waiting,VBG
make,VB
fourth,JJ
said,VBD
nothing,NN
looked,VBD
under,IN
lashes,NNS
doing,VBG
discovered,VBD
looking,VBG
Are,VBP
n't,RB
you,PRP
going,VBG
play,VB
any,DT
Mr,NNP
'',''
asked,VBD
Why,WRB
playing,VBG
rejoined,VBD
My,PRP$
says,VBZ
too,RB
badly,RB
Oh,UH
me,PRP
!,.
We,PRP
shall,MD
pair,NN
Then,RB
must,MD
be,VB
Well,NNP
no,DT
can,MD
hang,NN
here,RB
know,VBP
Besides,IN
'm,VBP
